description,category,deadline_proximity,vulnerability_score,urgency_label
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,14,66,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,10,84,High
"Security threat detected in urban sector, immediate action required (Updated case)",Education,19,56,High
New school materials needed for underprivileged children (Updated case),Logistics,26,44,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Security,16,24,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,15,74,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,24,65,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,18,89,Critical
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,8,12,High
"Security threat detected in urban sector, immediate action required (Updated case)",Education,1,31,High
Educational program for refugees requires immediate funding (Updated case),Education,1,33,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,12,54,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Education,16,39,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,19,45,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,6,69,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,12,47,Critical
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,19,74,Critical
New school materials needed for underprivileged children (Updated case),Education,1,47,Critical
Urgent need for medical supplies in rural areas (Updated case),Logistics,24,92,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,15,84,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,3,3,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,12,98,High
New school materials needed for underprivileged children (Updated case),Infrastructure,10,74,High
New school materials needed for underprivileged children (Updated case),Medical,1,23,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,24,17,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,31,44,Medium
Educational program for refugees requires immediate funding (Updated case),Security,17,11,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,8,98,Low
Educational program for refugees requires immediate funding (Updated case),Medical,22,51,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,8,62,Low
Relief efforts delayed due to severe weather conditions (Updated case),Security,26,35,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,5,17,Critical
Road repairs required due to heavy rainfall damage (Updated case),Medical,13,70,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Education,3,70,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,20,61,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,19,79,High
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,11,32,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,33,29,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,12,16,High
Urgent need for medical supplies in rural areas (Updated case),Security,23,72,Medium
New school materials needed for underprivileged children (Updated case),Medical,29,70,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,21,1,Medium
Road repairs required due to heavy rainfall damage (Updated case),Medical,3,37,High
Urgent need for medical supplies in rural areas (Updated case),Education,23,88,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Education,30,35,Critical
Road repairs required due to heavy rainfall damage (Updated case),Logistics,33,47,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,18,85,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,11,1,High
"Security threat detected in urban sector, immediate action required (Updated case)",Education,14,19,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,13,14,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,19,14,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,22,12,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Security,24,37,High
"Security threat detected in urban sector, immediate action required (Updated case)",Education,8,67,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,15,98,High
New school materials needed for underprivileged children (Updated case),Infrastructure,31,67,Critical
New school materials needed for underprivileged children (Updated case),Medical,16,6,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,18,51,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,8,13,Critical
Urgent need for medical supplies in rural areas (Updated case),Education,24,22,High
Logistical delays affecting food distribution in remote villages (Updated case),Medical,3,7,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,12,26,High
Logistical delays affecting food distribution in remote villages (Updated case),Security,30,42,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Medical,3,22,High
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,3,72,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,12,14,High
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,5,10,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,16,46,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,12,75,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,26,100,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Security,14,100,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,6,59,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,16,14,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,18,56,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,1,20,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,19,46,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,28,88,Medium
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,24,63,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,8,5,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,2,85,High
Road repairs required due to heavy rainfall damage (Updated case),Logistics,9,89,High
Road repairs required due to heavy rainfall damage (Updated case),Logistics,6,32,Critical
New school materials needed for underprivileged children (Updated case),Medical,20,70,High
Logistical delays affecting food distribution in remote villages (Updated case),Education,1,89,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Security,5,77,Medium
Urgent need for medical supplies in rural areas (Updated case),Security,12,25,Medium
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,9,32,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,17,14,High
Road repairs required due to heavy rainfall damage (Updated case),Security,7,50,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,2,17,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,13,30,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Security,1,8,Low
New school materials needed for underprivileged children (Updated case),Security,29,63,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,17,24,Low
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,25,76,Low
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,6,7,Medium
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,1,24,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,2,47,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,15,97,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,24,31,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,14,72,Medium
Road repairs required due to heavy rainfall damage (Updated case),Security,1,65,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Medical,20,39,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,1,5,Low
Relief efforts delayed due to severe weather conditions (Updated case),Education,17,21,High
Educational program for refugees requires immediate funding (Updated case),Education,19,87,High
New school materials needed for underprivileged children (Updated case),Medical,18,41,Low
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,1,11,High
Educational program for refugees requires immediate funding (Updated case),Logistics,10,100,High
Road repairs required due to heavy rainfall damage (Updated case),Education,4,100,Low
Logistical delays affecting food distribution in remote villages (Updated case),Education,12,57,Low
New school materials needed for underprivileged children (Updated case),Infrastructure,21,32,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,22,24,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,21,52,Medium
Educational program for refugees requires immediate funding (Updated case),Security,12,2,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,23,73,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,26,28,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,9,45,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,24,20,High
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,24,66,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Security,1,57,Low
New school materials needed for underprivileged children (Updated case),Security,19,5,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,19,92,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,26,49,High
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,30,14,Medium
New school materials needed for underprivileged children (Updated case),Education,21,88,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,4,87,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Medical,10,53,Low
Educational program for refugees requires immediate funding (Updated case),Education,25,44,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,19,17,Medium
Educational program for refugees requires immediate funding (Updated case),Medical,3,1,High
Urgent need for medical supplies in rural areas (Updated case),Education,23,95,Critical
Road repairs required due to heavy rainfall damage (Updated case),Security,23,54,High
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,2,86,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Medical,26,70,High
Relief efforts delayed due to severe weather conditions (Updated case),Education,12,93,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,7,13,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,21,30,High
Road repairs required due to heavy rainfall damage (Updated case),Medical,1,29,High
Educational program for refugees requires immediate funding (Updated case),Infrastructure,31,13,Medium
New school materials needed for underprivileged children (Updated case),Logistics,28,16,Critical
Road repairs required due to heavy rainfall damage (Updated case),Logistics,18,54,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,6,8,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,19,69,High
New school materials needed for underprivileged children (Updated case),Security,13,16,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,14,57,High
Urgent need for medical supplies in rural areas (Updated case),Logistics,6,4,Critical
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,18,34,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,28,40,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,5,13,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,11,26,Critical
Educational program for refugees requires immediate funding (Updated case),Logistics,3,41,High
New school materials needed for underprivileged children (Updated case),Education,31,64,Critical
Road repairs required due to heavy rainfall damage (Updated case),Logistics,22,100,Low
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,12,56,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,19,56,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,24,58,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Security,24,1,Low
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,3,20,High
New school materials needed for underprivileged children (Updated case),Infrastructure,17,24,High
New school materials needed for underprivileged children (Updated case),Infrastructure,7,31,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,24,49,High
Relief efforts delayed due to severe weather conditions (Updated case),Security,16,57,Medium
Educational program for refugees requires immediate funding (Updated case),Logistics,20,57,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,20,53,Critical
Road repairs required due to heavy rainfall damage (Updated case),Education,5,44,Medium
Educational program for refugees requires immediate funding (Updated case),Security,10,10,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Medical,12,84,High
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,23,36,High
Road repairs required due to heavy rainfall damage (Updated case),Education,33,41,High
New school materials needed for underprivileged children (Updated case),Infrastructure,1,82,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,18,58,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,19,46,High
Logistical delays affecting food distribution in remote villages (Updated case),Medical,10,13,High
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,27,11,High
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,4,36,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,1,100,Medium
New school materials needed for underprivileged children (Updated case),Infrastructure,20,13,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,25,71,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,17,22,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,6,54,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,14,5,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,1,42,High
Urgent need for medical supplies in rural areas (Updated case),Security,30,58,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,22,20,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,20,30,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,33,76,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,8,39,High
Urgent need for medical supplies in rural areas (Updated case),Education,12,8,Low
Urgent need for medical supplies in rural areas (Updated case),Education,5,22,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Security,9,78,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,21,87,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,22,14,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,26,41,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,10,40,Low
Educational program for refugees requires immediate funding (Updated case),Medical,3,7,Medium
Educational program for refugees requires immediate funding (Updated case),Security,19,23,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,21,25,High
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,17,65,Low
Logistical delays affecting food distribution in remote villages (Updated case),Security,16,52,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,31,3,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,6,79,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,9,61,High
Road repairs required due to heavy rainfall damage (Updated case),Logistics,23,100,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,7,16,Critical
Urgent need for medical supplies in rural areas (Updated case),Medical,19,71,Medium
New school materials needed for underprivileged children (Updated case),Education,31,77,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,11,42,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Medical,3,39,Critical
Educational program for refugees requires immediate funding (Updated case),Logistics,4,89,Critical
New school materials needed for underprivileged children (Updated case),Security,22,45,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Education,1,53,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,21,43,Low
Relief efforts delayed due to severe weather conditions (Updated case),Medical,14,29,High
Educational program for refugees requires immediate funding (Updated case),Medical,21,91,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Medical,11,63,Low
Educational program for refugees requires immediate funding (Updated case),Education,8,98,High
Relief efforts delayed due to severe weather conditions (Updated case),Security,24,29,High
Urgent need for medical supplies in rural areas (Updated case),Security,1,21,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Security,11,51,Critical
Urgent need for medical supplies in rural areas (Updated case),Security,9,10,High
Road repairs required due to heavy rainfall damage (Updated case),Medical,30,41,High
Road repairs required due to heavy rainfall damage (Updated case),Logistics,16,47,High
Logistical delays affecting food distribution in remote villages (Updated case),Medical,32,75,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,14,58,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,31,39,Low
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,5,42,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,20,91,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,8,93,Critical
Urgent need for medical supplies in rural areas (Updated case),Medical,22,92,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,12,6,Medium
Educational program for refugees requires immediate funding (Updated case),Medical,10,16,Critical
Road repairs required due to heavy rainfall damage (Updated case),Security,14,76,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,6,65,Low
Road repairs required due to heavy rainfall damage (Updated case),Logistics,25,100,High
Urgent need for medical supplies in rural areas (Updated case),Security,26,9,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,25,16,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,27,33,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,28,48,Low
Logistical delays affecting food distribution in remote villages (Updated case),Security,22,89,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,27,45,Low
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,13,89,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,27,6,Low
New school materials needed for underprivileged children (Updated case),Security,30,42,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,25,88,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,5,34,Medium
Educational program for refugees requires immediate funding (Updated case),Medical,6,10,High
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,23,81,Low
Urgent need for medical supplies in rural areas (Updated case),Education,10,16,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,30,49,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,26,70,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,28,13,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Security,6,66,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,29,34,Critical
Educational program for refugees requires immediate funding (Updated case),Logistics,24,81,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,10,89,High
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,24,4,Critical
New school materials needed for underprivileged children (Updated case),Logistics,10,72,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,21,53,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,23,22,Medium
Road repairs required due to heavy rainfall damage (Updated case),Education,7,43,High
Road repairs required due to heavy rainfall damage (Updated case),Security,2,14,Low
Urgent need for medical supplies in rural areas (Updated case),Logistics,19,80,Low
Educational program for refugees requires immediate funding (Updated case),Medical,1,50,Medium
Educational program for refugees requires immediate funding (Updated case),Medical,24,58,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Education,17,3,Medium
Road repairs required due to heavy rainfall damage (Updated case),Education,6,18,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,26,78,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,7,86,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,14,57,Medium
Relief efforts delayed due to severe weather conditions (Updated case),Security,14,39,High
Educational program for refugees requires immediate funding (Updated case),Security,21,100,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,18,62,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Medical,13,64,High
Road repairs required due to heavy rainfall damage (Updated case),Education,15,15,Medium
Educational program for refugees requires immediate funding (Updated case),Medical,16,32,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,19,39,Medium
Road repairs required due to heavy rainfall damage (Updated case),Medical,12,50,Low
Educational program for refugees requires immediate funding (Updated case),Medical,13,25,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Education,13,68,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,22,46,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,31,68,Low
Road repairs required due to heavy rainfall damage (Updated case),Education,18,25,Medium
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,2,52,Low
Educational program for refugees requires immediate funding (Updated case),Education,31,3,Low
New school materials needed for underprivileged children (Updated case),Security,19,3,Medium
New school materials needed for underprivileged children (Updated case),Logistics,23,25,High
"Security threat detected in urban sector, immediate action required (Updated case)",Logistics,2,64,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,15,44,Low
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,1,12,Low
Educational program for refugees requires immediate funding (Updated case),Logistics,28,15,Critical
Urgent need for medical supplies in rural areas (Updated case),Medical,27,97,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,22,100,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Medical,15,21,High
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,24,75,High
Educational program for refugees requires immediate funding (Updated case),Medical,17,29,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,17,85,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,29,11,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Security,12,1,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Education,28,1,Low
Urgent need for medical supplies in rural areas (Updated case),Education,10,17,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,31,81,Critical
Urgent need for medical supplies in rural areas (Updated case),Education,7,10,High
"Security threat detected in urban sector, immediate action required (Updated case)",Security,28,79,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Security,18,89,Medium
New school materials needed for underprivileged children (Updated case),Infrastructure,3,61,Medium
Educational program for refugees requires immediate funding (Updated case),Medical,4,44,High
"Security threat detected in urban sector, immediate action required (Updated case)",Security,1,37,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,8,49,Medium
Educational program for refugees requires immediate funding (Updated case),Security,24,21,Medium
Educational program for refugees requires immediate funding (Updated case),Education,14,15,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Security,14,21,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,24,43,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,13,92,Low
Urgent need for medical supplies in rural areas (Updated case),Education,12,7,Medium
Road repairs required due to heavy rainfall damage (Updated case),Medical,20,100,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,18,74,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Infrastructure,23,3,Low
Educational program for refugees requires immediate funding (Updated case),Security,17,23,Critical
Educational program for refugees requires immediate funding (Updated case),Logistics,16,64,Medium
Urgent need for medical supplies in rural areas (Updated case),Logistics,20,87,High
New school materials needed for underprivileged children (Updated case),Security,19,24,High
"Security threat detected in urban sector, immediate action required (Updated case)",Infrastructure,1,40,Low
Road repairs required due to heavy rainfall damage (Updated case),Medical,17,94,Critical
Urgent need for medical supplies in rural areas (Updated case),Logistics,2,31,Low
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,7,25,Critical
New school materials needed for underprivileged children (Updated case),Infrastructure,28,40,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Security,16,28,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,23,30,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,29,43,Low
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,28,1,Low
Urgent need for medical supplies in rural areas (Updated case),Medical,19,12,Medium
"Healthcare crisis reported, emergency response team needed (Updated case)",Education,13,1,High
Urgent need for medical supplies in rural areas (Updated case),Security,23,33,High
"Security threat detected in urban sector, immediate action required (Updated case)",Security,24,33,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,18,30,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Education,1,69,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,1,48,High
Urgent need for medical supplies in rural areas (Updated case),Medical,22,14,Critical
"Security threat detected in urban sector, immediate action required (Updated case)",Medical,7,83,High
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,28,58,Critical
Logistical delays affecting food distribution in remote villages (Updated case),Infrastructure,12,8,High
Relief efforts delayed due to severe weather conditions (Updated case),Logistics,3,65,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Infrastructure,20,77,Low
Road repairs required due to heavy rainfall damage (Updated case),Logistics,18,74,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Education,6,48,Low
New school materials needed for underprivileged children (Updated case),Education,23,70,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Logistics,31,76,Low
Road repairs required due to heavy rainfall damage (Updated case),Security,31,47,Low
Road repairs required due to heavy rainfall damage (Updated case),Security,17,78,Low
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,27,80,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Logistics,10,79,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,20,99,High
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,18,56,High
New school materials needed for underprivileged children (Updated case),Infrastructure,26,28,High
Logistical delays affecting food distribution in remote villages (Updated case),Logistics,6,88,Critical
Educational program for refugees requires immediate funding (Updated case),Logistics,30,58,Medium
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,13,39,Critical
New school materials needed for underprivileged children (Updated case),Medical,6,17,Critical
Urgent need for medical supplies in rural areas (Updated case),Infrastructure,1,61,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Security,13,71,Critical
Relief efforts delayed due to severe weather conditions (Updated case),Security,27,88,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Medical,25,9,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Infrastructure,8,88,High
New school materials needed for underprivileged children (Updated case),Logistics,6,6,Low
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,2,59,Low
Educational program for refugees requires immediate funding (Updated case),Infrastructure,30,78,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Security,18,1,High
Road repairs required due to heavy rainfall damage (Updated case),Infrastructure,16,17,Medium
Road repairs required due to heavy rainfall damage (Updated case),Medical,20,54,High
New school materials needed for underprivileged children (Updated case),Education,13,76,High
Educational program for refugees requires immediate funding (Updated case),Medical,12,22,Low
"Security threat detected in urban sector, immediate action required (Updated case)",Security,5,76,Low
Logistical delays affecting food distribution in remote villages (Updated case),Security,24,48,Critical
Urgent need for medical supplies in rural areas (Updated case),Medical,14,15,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,17,6,Critical
Road repairs required due to heavy rainfall damage (Updated case),Security,3,30,Low
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Security,18,67,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,14,64,Medium
Logistical delays affecting food distribution in remote villages (Updated case),Education,22,47,Critical
"Bridge collapse poses serious risk, engineers dispatched (Updated case)",Education,20,71,Low
Urgent need for medical supplies in rural areas (Updated case),Security,16,70,Medium
Educational program for refugees requires immediate funding (Updated case),Security,31,10,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Security,20,6,High
Road repairs required due to heavy rainfall damage (Updated case),Security,32,45,Medium
Educational program for refugees requires immediate funding (Updated case),Medical,11,100,Critical
Road repairs required due to heavy rainfall damage (Updated case),Logistics,22,11,Critical
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,4,79,Low
Relief efforts delayed due to severe weather conditions (Updated case),Infrastructure,10,12,Medium
Urgent need for medical supplies in rural areas (Updated case),Medical,25,76,Critical
"Healthcare crisis reported, emergency response team needed (Updated case)",Medical,27,48,Medium
"Cybersecurity breach in government systems, containment underway (Updated case)",Logistics,22,70,High
"Cybersecurity breach in government systems, containment underway (Updated case)",Medical,14,90,High
